LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Arco;1/7/2011;"23";"18";"26";"15";"65";"11";"9";"20";"0";"1013";"0";"0";"pioggia temporale "
Arco;2/7/2011;"21";"16";"25";"9";"50";"11";"8";"15";"0";"1012";"0";"0";""
Arco;3/7/2011;"21";"13";"28";"10";"53";"21";"6";"10";"0";"1011";"0";"0";""
Arco;4/7/2011;"24";"16";"29";"17";"69";"10";"5";"10";"0";"1012";"0";"0";""
Arco;5/7/2011;"23";"19";"28";"20";"81";"9";"4";"25";"0";"1012";"0";"0";"pioggia temporale "
Arco;6/7/2011;"25";"19";"30";"20";"78";"10";"6";"12";"0";"1011";"0";"0";""
Arco;7/7/2011;"26";"21";"30";"21";"77";"10";"6";"14";"0";"1012";"0";"0";""
Arco;8/7/2011;"27";"21";"32";"19";"68";"9";"5";"9";"0";"1013";"0";"0";""
Arco;9/7/2011;"27";"20";"32";"19";"62";"14";"5";"9";"0";"1016";"0";"0";""
Arco;10/7/2011;"28";"22";"33";"20";"64";"11";"5";"9";"0";"1016";"0";"0";""
Arco;11/7/2011;"26";"15";"33";"18";"66";"13";"4";"21";"45";"1014";"0";"0";"temporale "
Arco;12/7/2011;"28";"22";"33";"19";"64";"14";"5";"9";"0";"1014";"0";"0";""
Arco;13/7/2011;"28";"23";"32";"20";"66";"10";"9";"20";"0";"1009";"0";"0";"pioggia temporale "
Arco;14/7/2011;"27";"21";"31";"19";"64";"11";"6";"12";"0";"1009";"0";"0";""
Arco;15/7/2011;"25";"17";"29";"18";"67";"11";"7";"13";"0";"1013";"0";"0";""
Arco;16/7/2011;"24";"18";"29";"17";"68";"11";"5";"9";"0";"1013";"0";"0";""
Arco;17/7/2011;"24";"18";"29";"16";"66";"11";"5";"14";"0";"1008";"0";"0";"pioggia "
Arco;18/7/2011;"24";"19";"29";"13";"59";"11";"7";"13";"0";"1004";"0";"0";"pioggia "
Arco;19/7/2011;"20";"15";"27";"12";"68";"11";"5";"9";"0";"1005";"0";"0";"pioggia "
Arco;20/7/2011;"21";"15";"28";"13";"68";"11";"7";"16";"0";"1003";"0";"0";"pioggia "
Arco;21/7/2011;"22";"14";"28";"12";"59";"14";"7";"15";"0";"1005";"0";"0";""
Arco;22/7/2011;"22";"15";"28";"11";"57";"13";"7";"15";"0";"1006";"0";"0";""
Arco;23/7/2011;"20";"15";"25";"16";"78";"10";"9";"22";"0";"1006";"0";"0";"pioggia temporale "
Arco;24/7/2011;"18";"15";"22";"13";"77";"10";"10";"33";"37";"1006";"0";"0";"pioggia temporale "
Arco;25/7/2011;"19";"12";"25";"10";"62";"11";"7";"20";"0";"1008";"0";"0";""
Arco;26/7/2011;"21";"15";"26";"12";"63";"11";"8";"17";"0";"1012";"0";"0";""
Arco;27/7/2011;"20";"15";"24";"14";"73";"10";"10";"20";"0";"1016";"0";"0";""
Arco;28/7/2011;"21";"16";"27";"16";"78";"9";"9";"22";"0";"1014";"0";"0";"pioggia temporale "
Arco;29/7/2011;"23";"17";"28";"15";"67";"10";"6";"15";"0";"1013";"0";"0";"temporale "
Arco;30/7/2011;"23";"12";"29";"15";"67";"10";"8";"22";"41";"1011";"0";"0";"temporale "
Arco;31/7/2011;"23";"19";"28";"17";"72";"10";"8";"19";"0";"1011";"0";"0";""
