City,Year,Season,AverageTemperature,AveragePrecipitation
Trento,1990,Autumn,-1.0,5.0
Trento,1990,Spring,4.7,5.8
Trento,1990,Summer,11.7,4.6
Trento,1990,Winter,-3.4,1.2
Trento,1991,Autumn,-1.2,4.0
Trento,1991,Spring,3.4,5.5
Trento,1991,Summer,12.6,5.3
Trento,1991,Winter,-6.3,2.0
Trento,1992,Autumn,0.7,5.6
Trento,1992,Spring,4.8,6.0
Trento,1992,Summer,12.3,4.7
Trento,1992,Winter,-5.5,0.5
Trento,1993,Autumn,0.7,5.7
Trento,1993,Spring,5.5,3.9
Trento,1993,Summer,11.3,6.1
Trento,1993,Winter,-5.2,0.8
Trento,1994,Autumn,2.8,2.6
Trento,1994,Spring,5.4,4.3
Trento,1994,Summer,12.9,6.8
Trento,1994,Winter,-4.9,2.0
Trento,1995,Autumn,1.5,1.3
Trento,1995,Spring,4.3,4.6
Trento,1995,Summer,11.4,5.4
Trento,1995,Winter,-6.6,1.9
Trento,1996,Autumn,0.1,5.2
Trento,1996,Spring,5.8,3.6
Trento,1996,Summer,9.8,7.5
Trento,1996,Winter,-7.1,1.6
Trento,1997,Autumn,0.4,3.5
Trento,1997,Spring,5.4,4.8
Trento,1997,Summer,11.3,8.1
Trento,1997,Winter,-4.1,1.0
Trento,1998,Autumn,-0.0,2.6
Trento,1998,Spring,4.5,5.4
Trento,1998,Summer,12.2,7.6
Trento,1998,Winter,-3.9,0.5
Trento,1999,Autumn,-0.7,4.5
Trento,1999,Spring,5.6,5.1
Trento,1999,Summer,11.6,7.3
Trento,1999,Winter,-7.1,2.3
Trento,2000,Autumn,0.9,9.0
Trento,2000,Spring,6.5,4.7
Trento,2000,Summer,11.4,7.1
Trento,2000,Winter,-6.2,0.7
Trento,2001,Autumn,1.7,1.9
Trento,2001,Spring,5.5,5.1
Trento,2001,Summer,11.7,5.9
Trento,2001,Winter,-5.3,3.2
Trento,2002,Autumn,1.2,6.4
Trento,2002,Spring,5.2,6.1
Trento,2002,Summer,11.5,5.1
Trento,2002,Winter,-4.0,2.2
Trento,2003,Autumn,-0.3,4.4
Trento,2003,Spring,6.7,3.3
Trento,2003,Summer,13.6,5.5
Trento,2003,Winter,-6.7,1.3
Trento,2004,Autumn,1.6,3.2
Trento,2004,Spring,4.5,4.1
Trento,2004,Summer,12.0,5.8
Trento,2004,Winter,-6.4,2.6
Trento,2005,Autumn,0.2,2.8
Trento,2005,Spring,5.9,4.8
Trento,2005,Summer,11.9,6.3
Trento,2005,Winter,-7.5,0.5
Trento,2006,Autumn,3.3,2.4
Trento,2006,Spring,5.1,4.4
Trento,2006,Summer,12.7,6.1
Trento,2006,Winter,-7.1,1.6
Trento,2007,Autumn,0.5,2.7
Trento,2007,Spring,6.7,4.9
Trento,2007,Summer,11.6,5.7
Trento,2007,Winter,-1.5,1.4
Trento,2008,Autumn,0.4,6.0
Trento,2008,Spring,4.7,5.7
Trento,2008,Summer,12.1,6.7
Trento,2008,Winter,-3.5,1.8
Trento,2009,Autumn,0.7,2.9
Trento,2009,Spring,6.4,4.9
Trento,2009,Summer,12.2,6.1
Trento,2009,Winter,-5.7,3.8
Trento,2010,Autumn,-0.8,5.4
Trento,2010,Spring,5.5,5.7
Trento,2010,Summer,12.0,6.4
Trento,2010,Winter,-6.6,2.3
Trento,2011,Autumn,2.0,2.3
Trento,2011,Spring,7.0,4.3
Trento,2011,Summer,12.4,7.2
Trento,2011,Winter,-4.1,1.6
Trento,2012,Autumn,0.9,5.6
Trento,2012,Spring,5.3,4.6
Trento,2012,Summer,12.7,7.4
Trento,2012,Winter,-5.9,1.1
Trento,2013,Autumn,2.3,4.2
Trento,2013,Spring,4.6,6.9
Trento,2013,Summer,12.2,5.2
Trento,2013,Winter,-4.9,3.5
Trento,2014,Autumn,3.4,4.7
Trento,2014,Spring,5.4,3.3
Trento,2014,Summer,10.9,7.6
Trento,2014,Winter,-3.6,4.9
Trento,2015,Autumn,2.9,2.4
Trento,2015,Spring,6.9,5.3
Trento,2015,Summer,13.3,6.1
Trento,2015,Winter,-4.0,2.1
Trento,2016,Autumn,2.0,2.7
Trento,2016,Spring,5.6,5.7
Trento,2016,Summer,13.2,6.8
Trento,2016,Winter,-3.4,3.2
Trento,2017,Autumn,1.1,3.0
Trento,2017,Spring,7.0,4.1
Trento,2017,Summer,12.7,4.9
Trento,2017,Winter,-2.9,2.6
Trento,2018,Autumn,2.5,4.4
Trento,2018,Spring,7.1,3.6
Trento,2018,Summer,13.4,4.2
Trento,2018,Winter,-3.5,3.0
Trento,2019,Autumn,2.4,7.9
Trento,2019,Spring,5.6,5.1
Trento,2019,Summer,13.4,3.9
Trento,2019,Winter,-2.7,2.7
Trento,2020,Autumn,1.4,6.2
Trento,2020,Spring,6.2,4.6
Trento,2020,Summer,13.2,3.9
Trento,2020,Winter,-1.9,2.2
Trento,2021,Autumn,1.2,2.9
Trento,2021,Spring,5.1,3.9
Trento,2021,Summer,12.5,3.1
Trento,2021,Winter,-4.1,2.5
Trento,2022,Autumn,2.2,2.7
Trento,2022,Spring,7.0,2.7
Trento,2022,Summer,13.9,2.2
Trento,2022,Winter,-2.8,0.9
Trento,2023,Autumn,2.0,5.3
Trento,2023,Spring,5.9,5.5
Trento,2023,Summer,13.3,3.7
Trento,2023,Winter,-2.1,1.5
Trento,2024,Autumn,1.5,4.0
Trento,2024,Spring,5.8,5.4
Trento,2024,Summer,13.7,3.2
Trento,2024,Winter,-2.3,3.8
Trento,2025,Autumn,4.4,3.5
Trento,2025,Spring,6.7,4.0
Trento,2025,Summer,12.6,4.1
Trento,2025,Winter,-2.9,3.5
Povo,1990,Autumn,4.2,5.0
Povo,1990,Spring,9.9,4.5
Povo,1990,Summer,16.8,2.7
Povo,1990,Winter,2.0,0.6
Povo,1991,Autumn,3.9,4.0
Povo,1991,Spring,8.6,5.0
Povo,1991,Summer,17.8,2.8
Povo,1991,Winter,-1.2,1.5
Povo,1992,Autumn,5.6,6.4
Povo,1992,Spring,10.0,4.1
Povo,1992,Summer,17.4,2.5
Povo,1992,Winter,0.0,0.5
Povo,1993,Autumn,5.8,5.6
Povo,1993,Spring,10.9,2.7
Povo,1993,Summer,16.4,4.2
Povo,1993,Winter,0.1,1.0
Povo,1994,Autumn,7.6,2.8
Povo,1994,Spring,10.5,3.3
Povo,1994,Summer,18.2,4.8
Povo,1994,Winter,0.3,1.7
Povo,1995,Autumn,6.3,1.7
Povo,1995,Spring,9.6,4.7
Povo,1995,Summer,16.5,4.3
Povo,1995,Winter,-1.5,2.3
Povo,1996,Autumn,5.1,5.7
Povo,1996,Spring,11.0,3.2
Povo,1996,Summer,15.0,4.5
Povo,1996,Winter,-1.8,2.2
Povo,1997,Autumn,5.5,3.7
Povo,1997,Spring,10.6,3.2
Povo,1997,Summer,16.4,4.8
Povo,1997,Winter,1.1,1.2
Povo,1998,Autumn,5.2,2.9
Povo,1998,Spring,9.8,4.6
Povo,1998,Summer,17.4,4.4
Povo,1998,Winter,1.7,0.7
Povo,1999,Autumn,4.4,3.8
Povo,1999,Spring,10.9,4.5
Povo,1999,Summer,16.8,4.2
Povo,1999,Winter,-2.1,1.8
Povo,2000,Autumn,6.2,8.5
Povo,2000,Spring,11.8,3.8
Povo,2000,Summer,16.7,4.2
Povo,2000,Winter,-0.9,0.9
Povo,2001,Autumn,6.4,1.7
Povo,2001,Spring,10.9,3.8
Povo,2001,Summer,17.0,3.5
Povo,2001,Winter,-0.1,3.4
Povo,2002,Autumn,6.3,6.1
Povo,2002,Spring,10.5,6.0
Povo,2002,Summer,16.7,4.7
Povo,2002,Winter,0.8,2.3
Povo,2003,Autumn,4.8,4.2
Povo,2003,Spring,12.0,2.2
Povo,2003,Summer,19.1,2.7
Povo,2003,Winter,-1.5,1.9
Povo,2004,Autumn,6.9,3.9
Povo,2004,Spring,9.8,4.2
Povo,2004,Summer,17.2,3.2
Povo,2004,Winter,-1.2,3.1
Povo,2005,Autumn,5.3,3.4
Povo,2005,Spring,11.1,3.7
Povo,2005,Summer,17.0,5.2
Povo,2005,Winter,-1.2,0.7
Povo,2006,Autumn,8.0,1.6
Povo,2006,Spring,10.3,3.0
Povo,2006,Summer,18.0,3.7
Povo,2006,Winter,-1.7,2.0
Povo,2007,Autumn,5.7,3.0
Povo,2007,Spring,12.0,3.7
Povo,2007,Summer,16.8,3.3
Povo,2007,Winter,3.6,1.3
Povo,2008,Autumn,5.6,6.7
Povo,2008,Spring,10.0,5.0
Povo,2008,Summer,17.3,4.1
Povo,2008,Winter,1.9,2.5
Povo,2009,Autumn,6.0,3.1
Povo,2009,Spring,11.9,3.9
Povo,2009,Summer,17.5,3.8
Povo,2009,Winter,-0.1,4.2
Povo,2010,Autumn,4.5,6.4
Povo,2010,Spring,10.8,5.7
Povo,2010,Summer,17.1,4.3
Povo,2010,Winter,-0.9,3.8
Povo,2011,Autumn,7.0,2.9
Povo,2011,Spring,12.4,2.9
Povo,2011,Summer,17.6,4.5
Povo,2011,Winter,1.4,2.2
Povo,2012,Autumn,6.3,5.5
Povo,2012,Spring,10.5,4.6
Povo,2012,Summer,18.0,3.5
Povo,2012,Winter,-0.6,0.7
Povo,2013,Autumn,7.2,3.6
Povo,2013,Spring,9.8,6.9
Povo,2013,Summer,17.5,2.8
Povo,2013,Winter,0.4,4.2
Povo,2014,Autumn,8.4,5.1
Povo,2014,Spring,10.7,3.3
Povo,2014,Summer,16.1,6.1
Povo,2014,Winter,1.7,6.0
Povo,2015,Autumn,7.7,2.4
Povo,2015,Spring,12.2,3.5
Povo,2015,Summer,18.6,2.9
Povo,2015,Winter,1.4,2.4
Povo,2016,Autumn,6.8,2.4
Povo,2016,Spring,10.9,4.7
Povo,2016,Summer,18.5,3.2
Povo,2016,Winter,1.9,4.0
Povo,2017,Autumn,6.1,1.9
Povo,2017,Spring,12.7,2.4
Povo,2017,Summer,18.9,4.2
Povo,2017,Winter,1.8,1.5
Povo,2018,Autumn,7.3,3.8
Povo,2018,Spring,12.6,3.4
Povo,2018,Summer,19.1,2.4
Povo,2018,Winter,1.3,2.1
Povo,2019,Autumn,7.2,5.6
Povo,2019,Spring,10.9,4.4
Povo,2019,Summer,19.1,2.9
Povo,2019,Winter,2.2,1.7
Povo,2020,Autumn,5.7,5.1
Povo,2020,Spring,11.5,3.2
Povo,2020,Summer,18.9,3.1
Povo,2020,Winter,2.6,1.6
Povo,2021,Autumn,6.0,2.6
Povo,2021,Spring,10.6,2.8
Povo,2021,Summer,18.3,3.0
Povo,2021,Winter,0.4,1.7
Povo,2022,Autumn,7.2,2.1
Povo,2022,Spring,12.3,2.1
Povo,2022,Summer,19.8,1.4
Povo,2022,Winter,1.9,0.5
Povo,2023,Autumn,7.3,3.9
Povo,2023,Spring,11.1,3.6
Povo,2023,Summer,19.3,2.9
Povo,2023,Winter,2.5,1.0
Povo,2024,Autumn,6.2,3.4
Povo,2024,Spring,11.4,4.2
Povo,2024,Summer,19.4,3.4
Povo,2024,Winter,2.5,3.4
Povo,2025,Autumn,9.5,2.9
Povo,2025,Spring,12.4,3.1
Povo,2025,Summer,18.6,2.8
Povo,2025,Winter,2.0,2.5
Rovereto,1990,Autumn,8.9,4.2
Rovereto,1990,Spring,14.2,3.3
Rovereto,1990,Summer,21.7,1.9
Rovereto,1990,Winter,5.1,0.4
Rovereto,1991,Autumn,8.3,3.1
Rovereto,1991,Spring,12.6,4.1
Rovereto,1991,Summer,22.4,1.6
Rovereto,1991,Winter,3.5,1.2
Rovereto,1992,Autumn,9.6,5.4
Rovereto,1992,Spring,14.4,2.9
Rovereto,1992,Summer,22.4,1.8
Rovereto,1992,Winter,4.0,0.5
Rovereto,1993,Autumn,9.2,4.2
Rovereto,1993,Spring,15.1,2.0
Rovereto,1993,Summer,21.4,2.5
Rovereto,1993,Winter,3.8,0.9
Rovereto,1994,Autumn,10.6,2.5
Rovereto,1994,Spring,14.4,2.5
Rovereto,1994,Summer,23.3,4.0
Rovereto,1994,Winter,5.2,1.2
Rovereto,1995,Autumn,9.5,1.4
Rovereto,1995,Spring,13.5,4.0
Rovereto,1995,Summer,20.9,3.6
Rovereto,1995,Winter,3.9,2.3
Rovereto,1996,Autumn,9.7,5.0
Rovereto,1996,Spring,15.2,2.4
Rovereto,1996,Summer,19.8,3.1
Rovereto,1996,Winter,3.0,2.1
Rovereto,1997,Autumn,9.9,3.1
Rovereto,1997,Spring,14.7,2.5
Rovereto,1997,Summer,21.2,2.9
Rovereto,1997,Winter,5.3,1.2
Rovereto,1998,Autumn,8.6,2.6
Rovereto,1998,Spring,14.1,3.4
Rovereto,1998,Summer,22.3,2.9
Rovereto,1998,Winter,5.3,0.7
Rovereto,1999,Autumn,9.2,3.1
Rovereto,1999,Spring,15.0,3.5
Rovereto,1999,Summer,21.7,3.1
Rovereto,1999,Winter,3.5,1.4
Rovereto,2000,Autumn,10.7,6.1
Rovereto,2000,Spring,15.9,2.9
Rovereto,2000,Summer,21.6,3.0
Rovereto,2000,Winter,3.9,0.8
Rovereto,2001,Autumn,9.7,1.5
Rovereto,2001,Spring,14.9,2.9
Rovereto,2001,Summer,22.0,2.3
Rovereto,2001,Winter,4.7,2.8
Rovereto,2002,Autumn,10.3,4.6
Rovereto,2002,Spring,14.7,4.9
Rovereto,2002,Summer,20.9,4.5
Rovereto,2002,Winter,4.7,2.1
Rovereto,2003,Autumn,9.4,3.4
Rovereto,2003,Spring,16.2,1.7
Rovereto,2003,Summer,24.0,1.7
Rovereto,2003,Winter,3.4,1.8
Rovereto,2004,Autumn,10.6,3.3
Rovereto,2004,Spring,13.9,3.5
Rovereto,2004,Summer,21.8,1.9
Rovereto,2004,Winter,3.0,3.0
Rovereto,2005,Autumn,9.1,3.3
Rovereto,2005,Spring,14.7,2.9
Rovereto,2005,Summer,21.3,4.6
Rovereto,2005,Winter,2.2,0.7
Rovereto,2006,Autumn,11.5,1.3
Rovereto,2006,Spring,14.6,2.3
Rovereto,2006,Summer,22.6,3.0
Rovereto,2006,Winter,2.2,1.7
Rovereto,2007,Autumn,9.0,2.5
Rovereto,2007,Spring,16.1,3.2
Rovereto,2007,Summer,21.4,2.1
Rovereto,2007,Winter,6.2,1.2
Rovereto,2008,Autumn,9.9,5.3
Rovereto,2008,Spring,14.1,4.0
Rovereto,2008,Summer,22.3,2.7
Rovereto,2008,Winter,5.3,2.2
Rovereto,2009,Autumn,10.1,2.8
Rovereto,2009,Spring,15.7,3.1
Rovereto,2009,Summer,22.5,2.7
Rovereto,2009,Winter,4.1,3.8
Rovereto,2010,Autumn,8.4,5.5
Rovereto,2010,Spring,14.7,4.7
Rovereto,2010,Summer,21.4,3.1
Rovereto,2010,Winter,3.3,3.7
Rovereto,2011,Autumn,10.2,2.5
Rovereto,2011,Spring,16.0,2.3
Rovereto,2011,Summer,22.4,3.4
Rovereto,2011,Winter,4.3,2.0
Rovereto,2012,Autumn,10.1,4.4
Rovereto,2012,Spring,15.0,3.5
Rovereto,2012,Summer,23.4,2.3
Rovereto,2012,Winter,3.1,0.6
Rovereto,2013,Autumn,10.5,3.0
Rovereto,2013,Spring,13.9,5.9
Rovereto,2013,Summer,22.1,2.1
Rovereto,2013,Winter,4.1,3.9
Rovereto,2014,Autumn,12.2,4.0
Rovereto,2014,Spring,15.6,2.9
Rovereto,2014,Summer,20.4,5.1
Rovereto,2014,Winter,6.3,5.3
Rovereto,2015,Autumn,10.4,2.0
Rovereto,2015,Spring,16.0,2.8
Rovereto,2015,Summer,23.8,1.7
Rovereto,2015,Winter,5.0,2.2
Rovereto,2016,Autumn,9.9,1.9
Rovereto,2016,Spring,14.9,3.7
Rovereto,2016,Summer,23.2,2.8
Rovereto,2016,Winter,5.3,3.6
Rovereto,2017,Autumn,9.2,1.6
Rovereto,2017,Spring,17.0,2.3
Rovereto,2017,Summer,23.0,4.7
Rovereto,2017,Winter,4.4,1.5
Rovereto,2018,Autumn,10.9,2.3
Rovereto,2018,Spring,16.1,3.4
Rovereto,2018,Summer,22.6,3.5
Rovereto,2018,Winter,4.1,2.4
Rovereto,2019,Autumn,11.3,4.5
Rovereto,2019,Spring,14.6,4.5
Rovereto,2019,Summer,23.2,2.5
Rovereto,2019,Winter,5.1,1.6
Rovereto,2020,Autumn,9.6,4.1
Rovereto,2020,Spring,15.1,3.3
Rovereto,2020,Summer,22.6,2.5
Rovereto,2020,Winter,5.7,1.4
Rovereto,2021,Autumn,9.5,2.1
Rovereto,2021,Spring,14.4,3.4
Rovereto,2021,Summer,22.4,2.1
Rovereto,2021,Winter,4.7,1.8
Rovereto,2022,Autumn,11.0,3.1
Rovereto,2022,Spring,16.7,1.6
Rovereto,2022,Summer,24.0,2.0
Rovereto,2022,Winter,4.8,0.7
Rovereto,2023,Autumn,10.7,3.9
Rovereto,2023,Spring,15.0,3.2
Rovereto,2023,Summer,22.9,3.3
Rovereto,2023,Winter,5.9,1.1
Rovereto,2024,Autumn,10.0,4.6
Rovereto,2024,Spring,15.1,5.5
Rovereto,2024,Summer,23.1,3.5
Rovereto,2024,Winter,6.3,3.1
Rovereto,2025,Autumn,12.8,2.9
Rovereto,2025,Spring,16.0,3.3
Rovereto,2025,Summer,22.5,4.2
Rovereto,2025,Winter,5.6,3.1
Tenno,1990,Autumn,9.5,3.9
Tenno,1990,Spring,13.8,3.2
Tenno,1990,Summer,21.5,1.9
Tenno,1990,Winter,5.4,0.4
Tenno,1991,Autumn,8.9,3.4
Tenno,1991,Spring,12.3,3.3
Tenno,1991,Summer,22.3,1.4
Tenno,1991,Winter,4.0,1.2
Tenno,1992,Autumn,10.1,5.0
Tenno,1992,Spring,14.0,2.7
Tenno,1992,Summer,22.2,1.7
Tenno,1992,Winter,4.4,0.5
Tenno,1993,Autumn,9.6,4.0
Tenno,1993,Spring,14.6,1.9
Tenno,1993,Summer,21.0,3.4
Tenno,1993,Winter,4.2,0.7
Tenno,1994,Autumn,11.1,2.6
Tenno,1994,Spring,14.1,2.1
Tenno,1994,Summer,23.0,3.5
Tenno,1994,Winter,5.4,1.4
Tenno,1995,Autumn,10.3,1.7
Tenno,1995,Spring,13.2,3.2
Tenno,1995,Summer,20.9,3.2
Tenno,1995,Winter,4.3,2.3
Tenno,1996,Autumn,10.1,4.8
Tenno,1996,Spring,14.8,2.2
Tenno,1996,Summer,19.6,3.2
Tenno,1996,Winter,2.9,2.4
Tenno,1997,Autumn,10.3,3.0
Tenno,1997,Spring,14.4,2.0
Tenno,1997,Summer,21.0,3.0
Tenno,1997,Winter,5.6,1.1
Tenno,1998,Autumn,9.2,2.7
Tenno,1998,Spring,13.7,3.1
Tenno,1998,Summer,22.1,3.0
Tenno,1998,Winter,5.4,0.8
Tenno,1999,Autumn,9.8,3.1
Tenno,1999,Spring,14.6,2.9
Tenno,1999,Summer,21.5,2.9
Tenno,1999,Winter,4.0,1.4
Tenno,2000,Autumn,11.2,5.7
Tenno,2000,Spring,15.3,2.7
Tenno,2000,Summer,21.3,3.1
Tenno,2000,Winter,4.4,0.8
Tenno,2001,Autumn,10.5,1.4
Tenno,2001,Spring,14.5,3.0
Tenno,2001,Summer,21.8,2.3
Tenno,2001,Winter,5.2,2.8
Tenno,2002,Autumn,10.4,4.6
Tenno,2002,Spring,14.3,4.2
Tenno,2002,Summer,21.0,4.5
Tenno,2002,Winter,4.8,2.2
Tenno,2003,Autumn,9.7,3.3
